"","OBJECTID","CommonGenus","CommonName","BotanicalGenus","Botanical","OnStreet","Location","ConditionTreeHealth","DBH","Height","LandmarkTree","Place"
"1",9605,"maple","maple, sugar","Acer","Acer saccharum","COPLEY AVE","2105 COPLEY AVE","Neutral","21 - 25","51-70","Yes","Street"
"2",9534,"maple","maple, Norway","Acer","Acer platanoides","NORWAY RD","1925 NORWAY RD","Good","11 - 15","31-50","No","Street"
"3",39581,"maple","maple, Norway","Acer","Acer platanoides","DEVONSHIRE RD","2009 DEVONSHIRE RD","Neutral","6 - 10","21-30","No","Street"
"4",39249,"spruce","spruce, white","Picea","Picea glauca","KEARNEY RD","2216 MELROSE AVE","Neutral","6 - 10","31-50","No","Street"
"5",37328,"maple","maple, Norway","Acer","Acer platanoides","E EISENHOWER PKWY","2915 E EISENHOWER PKWY","Good","6 - 10","31-50","No","Street"
"6",36332,"tuliptree","tuliptree","Liriodendron","Liriodendron tulipifera","S INDUSTRIAL HWY","2805 S INDUSTRIAL HWY","Very Good","0 - 5","0 - 10","No","Street"
"7",36996,"buckeye","buckeye, yellow","Aesculus","Aesculus octandra","BOARDWALK DR","2841 BOARDWALK DR","Very Good","0 - 5","0 - 10","No","Street"
"8",17763,"maple","maple, red","Acer","Acer rubrum","SALISBURY LN","2675 SALISBURY LN","Neutral","6 - 10","31-50","No","Street"
"9",26514,"honeylocust","honeylocust, thornless","Gleditsia","Gleditsia triacanthos inermis","RESEARCH PARK DR","3885 RESEARCH PARK DR","Neutral","6 - 10","21-30","No","Street"
"10",414588,"oak","oak, northern red","Quercus","Quercus rubra","E EISENHOWER PKWY","3201 E EISENHOWER PKWY","Very Good","0 - 5","0 - 10","No","Street"
"11",21012,"apple/crabapple","crabapple, flowering","Malus","Malus spp.","BUHR PARK","BUHR PARK","Neutral","11 - 15","21-30","No","Park"
"12",96687,"hickory","hickory, shellbark","Carya","Carya laciniosa","BUHR PARK","BUHR PARK","Very Good","0 - 5","0 - 10","No","Park"
"13",21273,"apple/crabapple","crabapple, flowering","Malus","Malus spp.","BUHR PARK","BUHR PARK","Neutral","6 - 10","21-30","No","Park"
"14",10530,"spruce","spruce, Norway","Picea","Picea abies","HUNTINGTON PL","433 HUNTINGTON PL","Good","6 - 10","31-50","No","Street"
"16",23265,"elm","elm, Siberian","Ulmus","Ulmus pumila","DWIGHT ST","3200 DWIGHT ST","Neutral","16 - 20","31-50","No","Street"
"17",23929,"maple","maple, silver","Acer","Acer saccharinum","STONE SCHOOL RD","3265 N BAYLIS DR","Bad","26 - 30","51-70","Yes","Street"
"18",214219,"serviceberry","serviceberry, Allegheny","Amelanchier","Amelanchier laevis","MARY BETH DOYLE PARK","MARY BETH DOYLE PARK","Very Good","0 - 5","11-20","No","Park"
"19",34008,"serviceberry","serviceberry, spp.","Amelanchier","Amelanchier spp.","MARY BETH DOYLE PARK","MARY BETH DOYLE PARK","Neutral","0 - 5","0 - 10","No","Park"
"20",18356,"hawthorn","hawthorn, spp.","Crataegus","Crataegus spp.","VETERANS MEMORIAL PARK","VETERANS MEMORIAL PARK","Neutral","0 - 5","21-30","No","Park"
